mean_energy	error	        alpha	         beta	         gamma	        acceptance	stepsize
77.042037,	1.711616,	-1.719100,	-1.437960,	-0.085970,	58.037500,	2.000000
58.499657,	1.484570,	-1.719100,	-1.437960,	-0.073970,	60.733333,	2.000000
48.373890,	1.404933,	-1.719100,	-1.437960,	-0.061970,	63.870833,	2.000000
32.539118,	1.168257,	-1.719100,	-1.437960,	-0.049970,	66.977083,	2.000000
21.042442,	0.898999,	-1.719100,	-1.437960,	-0.037970,	71.075000,	2.000000
14.040803,	0.701876,	-1.719100,	-1.437960,	-0.025970,	76.495833,	2.000000
6.779694,	0.371748,	-1.719100,	-1.437960,	-0.013970,	79.210417,	2.500000
214.866308,	2.449999,	-1.719100,	-1.087960,	-0.133970,	49.177083,	2.000000
175.398230,	2.201579,	-1.719100,	-1.087960,	-0.121970,	51.470833,	2.000000
159.492952,	2.126615,	-1.719100,	-1.087960,	-0.109970,	53.029167,	2.000000
125.510639,	1.793914,	-1.719100,	-1.087960,	-0.097970,	55.397917,	2.000000
106.167608,	1.676822,	-1.719100,	-1.087960,	-0.085970,	57.287500,	2.000000
83.974637,	1.588122,	-1.719100,	-1.087960,	-0.073970,	59.960417,	2.000000
69.451071,	1.450425,	-1.719100,	-1.087960,	-0.061970,	63.056250,	2.000000
49.172077,	1.117941,	-1.719100,	-1.087960,	-0.049970,	66.529167,	2.000000
33.260541,	0.989979,	-1.719100,	-1.087960,	-0.037970,	70.704167,	2.000000
21.032917,	0.720308,	-1.719100,	-1.087960,	-0.025970,	76.172917,	2.000000
10.475136,	0.596915,	-1.719100,	-1.087960,	-0.013970,	78.633333,	2.500000
299.473789,	2.285684,	-1.719100,	-0.737960,	-0.133970,	48.000000,	2.000000
259.925107,	2.174435,	-1.719100,	-0.737960,	-0.121970,	49.810417,	2.000000
229.242716,	2.097558,	-1.719100,	-0.737960,	-0.109970,	51.795833,	2.000000
186.253157,	1.845933,	-1.719100,	-0.737960,	-0.097970,	54.141667,	2.000000
155.918418,	1.774166,	-1.719100,	-0.737960,	-0.085970,	56.639583,	2.000000
121.967801,	1.455156,	-1.719100,	-0.737960,	-0.073970,	59.106250,	2.000000
100.862902,	1.409526,	-1.719100,	-0.737960,	-0.061970,	61.891667,	2.000000
73.521504,	1.122068,	-1.719100,	-0.737960,	-0.049970,	65.606250,	2.000000
47.398196,	0.781732,	-1.719100,	-0.737960,	-0.037970,	70.264583,	2.000000
31.253009,	0.664125,	-1.719100,	-0.737960,	-0.025970,	75.141667,	2.000000
14.221714,	0.399573,	-1.719100,	-0.737960,	-0.013970,	77.958333,	2.500000
607.149043,	3.751855,	-1.719100,	-0.387960,	-0.133970,	49.385417,	1.500000
486.504195,	3.157114,	-1.719100,	-0.387960,	-0.121970,	41.047917,	2.000000
377.952276,	2.379761,	-1.719100,	-0.387960,	-0.109970,	45.825000,	2.000000
307.637470,	2.011175,	-1.719100,	-0.387960,	-0.097970,	49.854167,	2.000000
254.909085,	1.813275,	-1.719100,	-0.387960,	-0.085970,	53.145833,	2.000000
182.380240,	1.335530,	-1.719100,	-0.387960,	-0.073970,	56.472917,	2.000000
158.873223,	1.319798,	-1.719100,	-0.387960,	-0.061970,	60.193750,	2.000000
110.140143,	0.997695,	-1.719100,	-0.387960,	-0.049970,	64.041667,	2.000000
75.716049,	0.808597,	-1.719100,	-0.387960,	-0.037970,	68.250000,	2.000000
47.449297,	0.592186,	-1.719100,	-0.387960,	-0.025970,	74.385417,	2.000000
21.473675,	0.342398,	-1.719100,	-0.387960,	-0.013970,	77.241667,	2.500000
5.550013,	0.377879,	-1.719100,	-0.037960,	-0.133970,	79.497917,	2.000000
4.417710,	0.381393,	-1.719100,	-0.037960,	-0.121970,	75.141667,	2.500000
4.371869,	0.380963,	-1.719100,	-0.037960,	-0.109970,	80.070833,	2.000000
3.339242,	0.369548,	-1.719100,	-0.037960,	-0.097970,	75.645833,	2.500000
3.152232,	0.394423,	-1.719100,	-0.037960,	-0.085970,	75.889583,	2.500000
2.546425,	0.416246,	-1.719100,	-0.037960,	-0.073970,	75.693750,	2.500000
0.002792,	0.461771,	-1.719100,	-0.037960,	-0.061970,	75.460417,	2.500000
-4.059435,	0.514149,	-1.719100,	-0.037960,	-0.049970,	78.079167,	2.000000
-5.095457,	0.665038,	-1.719100,	-0.037960,	-0.037970,	74.966667,	2.000000
-3.495129,	0.914682,	-1.719100,	-0.037960,	-0.025970,	68.518750,	2.000000
20.286232,	0.788928,	-1.719100,	-0.037960,	-0.013970,	76.027083,	2.000000
11.332401,	1.726053,	-1.219100,	-3.537960,	-0.133970,	52.572917,	2.000000
2.924469,	1.185619,	-1.219100,	-3.537960,	-0.121970,	54.583333,	2.000000
-4.068146,	1.265598,	-1.219100,	-3.537960,	-0.109970,	56.531250,	2.000000
-7.852013,	0.873946,	-1.219100,	-3.537960,	-0.097970,	58.743750,	2.000000
-11.555036,	0.895038,	-1.219100,	-3.537960,	-0.085970,	60.668750,	2.000000
-13.725467,	0.903931,	-1.219100,	-3.537960,	-0.073970,	63.397917,	2.000000
-13.043434,	1.123435,	-1.219100,	-3.537960,	-0.061970,	66.212500,	2.000000
-13.640288,	0.484544,	-1.219100,	-3.537960,	-0.049970,	69.825000,	2.000000
-11.674690,	0.467337,	-1.219100,	-3.537960,	-0.037970,	73.270833,	2.000000
-5.514300,	0.700576,	-1.219100,	-3.537960,	-0.025970,	78.131250,	2.000000
-0.778214,	0.609451,	-1.219100,	-3.537960,	-0.013970,	76.391667,	3.000000
11.385312,	2.980414,	-1.219100,	-3.187960,	-0.133970,	52.193750,	2.000000
4.103726,	1.489003,	-1.219100,	-3.187960,	-0.121970,	54.716667,	2.000000
-2.817916,	1.237842,	-1.219100,	-3.187960,	-0.109970,	55.908333,	2.000000
-9.184049,	1.209041,	-1.219100,	-3.187960,	-0.097970,	58.362500,	2.000000
-13.051204,	0.709341,	-1.219100,	-3.187960,	-0.085970,	60.687500,	2.000000
-13.196052,	0.823811,	-1.219100,	-3.187960,	-0.073970,	63.035417,	2.000000
-13.964900,	0.659534,	-1.219100,	-3.187960,	-0.061970,	66.533333,	2.000000
-13.164884,	0.678523,	-1.219100,	-3.187960,	-0.049970,	69.545833,	2.000000
-10.173726,	0.594374,	-1.219100,	-3.187960,	-0.037970,	73.331250,	2.000000
-6.572223,	0.432353,	-1.219100,	-3.187960,	-0.025970,	77.554167,	2.000000
-1.403928,	0.298666,	-1.219100,	-3.187960,	-0.013970,	76.472917,	3.000000
7.127551,	1.342787,	-1.219100,	-2.837960,	-0.133970,	52.766667,	2.000000
-3.582908,	1.124697,	-1.219100,	-2.837960,	-0.109970,	55.852083,	2.000000
1.453713,	1.053680,	-1.219100,	-2.837960,	-0.121970,	54.320833,	2.000000
-8.471068,	1.074359,	-1.219100,	-2.837960,	-0.097970,	58.531250,	2.000000
-10.578890,	1.144380,	-1.219100,	-2.837960,	-0.085970,	60.318750,	2.000000
-12.830729,	0.649679,	-1.219100,	-2.837960,	-0.073970,	62.883333,	2.000000
-14.667780,	0.640741,	-1.219100,	-2.837960,	-0.061970,	66.216667,	2.000000
-12.085926,	0.404646,	-1.219100,	-2.837960,	-0.049970,	69.162500,	2.000000
-9.507107,	0.341457,	-1.219100,	-2.837960,	-0.037970,	73.212500,	2.000000
-6.131664,	0.375495,	-1.219100,	-2.837960,	-0.025970,	77.520833,	2.000000
-1.397672,	0.193073,	-1.219100,	-2.837960,	-0.013970,	76.552083,	3.000000
7.936970,	0.964910,	-1.219100,	-2.487960,	-0.133970,	52.566667,	2.000000
3.408836,	1.267460,	-1.219100,	-2.487960,	-0.121970,	54.268750,	2.000000
-5.009571,	0.896185,	-1.219100,	-2.487960,	-0.109970,	56.266667,	2.000000
-7.144892,	1.059338,	-1.219100,	-2.487960,	-0.097970,	57.870833,	2.000000
-11.602610,	0.738140,	-1.219100,	-2.487960,	-0.085970,	60.200000,	2.000000
-12.070257,	0.743291,	-1.219100,	-2.487960,	-0.073970,	62.637500,	2.000000
-11.132576,	0.821296,	-1.219100,	-2.487960,	-0.061970,	65.700000,	2.000000
-11.346649,	0.370094,	-1.219100,	-2.487960,	-0.049970,	69.125000,	2.000000
-8.498492,	0.380644,	-1.219100,	-2.487960,	-0.037970,	73.168750,	2.000000
-5.157718,	0.434250,	-1.219100,	-2.487960,	-0.025970,	77.431250,	2.000000
-0.644929,	0.157988,	-1.219100,	-2.487960,	-0.013970,	76.100000,	3.000000
10.060378,	1.267635,	-1.219100,	-2.137960,	-0.133970,	51.731250,	2.000000
5.029073,	2.425301,	-1.219100,	-2.137960,	-0.121970,	53.654167,	2.000000
-0.354694,	1.012667,	-1.219100,	-2.137960,	-0.109970,	56.022917,	2.000000
-5.614769,	0.797233,	-1.219100,	-2.137960,	-0.097970,	57.983333,	2.000000
-8.303482,	0.794391,	-1.219100,	-2.137960,	-0.085970,	60.072917,	2.000000
-8.253841,	0.672895,	-1.219100,	-2.137960,	-0.073970,	62.916667,	2.000000
-10.379220,	0.360053,	-1.219100,	-2.137960,	-0.061970,	65.279167,	2.000000
-9.710165,	0.500385,	-1.219100,	-2.137960,	-0.049970,	68.827083,	2.000000
-6.820447,	0.247477,	-1.219100,	-2.137960,	-0.037970,	72.858333,	2.000000
-3.976748,	0.518320,	-1.219100,	-2.137960,	-0.025970,	77.737500,	2.000000
-0.006445,	0.241668,	-1.219100,	-2.137960,	-0.013970,	79.506250,	2.500000
13.028168,	1.018872,	-1.219100,	-1.787960,	-0.133970,	51.972917,	2.000000
8.446501,	1.167488,	-1.219100,	-1.787960,	-0.121970,	53.922917,	2.000000
2.028151,	0.854828,	-1.219100,	-1.787960,	-0.109970,	55.887500,	2.000000
0.349919,	0.830668,	-1.219100,	-1.787960,	-0.097970,	57.577083,	2.000000
-1.855138,	1.292915,	-1.219100,	-1.787960,	-0.085970,	59.877083,	2.000000
-6.786025,	0.621902,	-1.219100,	-1.787960,	-0.073970,	62.345833,	2.000000
-6.487712,	0.514835,	-1.219100,	-1.787960,	-0.061970,	64.897917,	2.000000
-5.129762,	0.624473,	-1.219100,	-1.787960,	-0.049970,	68.610417,	2.000000
-5.135479,	0.507315,	-1.219100,	-1.787960,	-0.037970,	72.406250,	2.000000
-1.873416,	0.382670,	-1.219100,	-1.787960,	-0.025970,	77.237500,	2.000000
0.327412,	0.188021,	-1.219100,	-1.787960,	-0.013970,	79.791667,	2.500000
21.885712,	1.138859,	-1.219100,	-1.437960,	-0.133970,	52.254167,	2.000000
15.937027,	1.001053,	-1.219100,	-1.437960,	-0.121970,	53.779167,	2.000000
11.655831,	1.145192,	-1.219100,	-1.437960,	-0.109970,	55.052083,	2.000000
7.792618,	0.918434,	-1.219100,	-1.437960,	-0.097970,	57.031250,	2.000000
4.807166,	0.893681,	-1.219100,	-1.437960,	-0.085970,	59.560417,	2.000000
1.490132,	0.752277,	-1.219100,	-1.437960,	-0.073970,	61.954167,	2.000000
0.473511,	0.601915,	-1.219100,	-1.437960,	-0.061970,	64.962500,	2.000000
-0.125294,	0.543760,	-1.219100,	-1.437960,	-0.049970,	68.275000,	2.000000
0.227040,	0.398266,	-1.219100,	-1.437960,	-0.037970,	72.362500,	2.000000
1.186500,	0.314141,	-1.219100,	-1.437960,	-0.025970,	76.729167,	2.000000
1.242001,	0.190193,	-1.219100,	-1.437960,	-0.013970,	79.295833,	2.500000
34.246832,	1.038605,	-1.219100,	-1.087960,	-0.133970,	52.266667,	2.000000
32.305316,	1.009034,	-1.219100,	-1.087960,	-0.121970,	53.808333,	2.000000
26.342271,	0.946088,	-1.219100,	-1.087960,	-0.109970,	55.433333,	2.000000
20.602046,	0.961523,	-1.219100,	-1.087960,	-0.097970,	57.272917,	2.000000
16.787830,	1.128968,	-1.219100,	-1.087960,	-0.085970,	59.925000,	2.000000
13.312234,	0.806158,	-1.219100,	-1.087960,	-0.073970,	62.235417,	2.000000
9.614172,	0.651939,	-1.219100,	-1.087960,	-0.061970,	65.014583,	2.000000
7.512853,	0.575834,	-1.219100,	-1.087960,	-0.049970,	67.793750,	2.000000
5.268135,	0.428362,	-1.219100,	-1.087960,	-0.037970,	72.052083,	2.000000
4.940846,	0.370401,	-1.219100,	-1.087960,	-0.025970,	76.535417,	2.000000
3.571452,	0.206395,	-1.219100,	-1.087960,	-0.013970,	79.039583,	2.500000
66.991848,	1.207001,	-1.219100,	-0.737960,	-0.133970,	52.681250,	2.000000
56.069373,	1.149089,	-1.219100,	-0.737960,	-0.121970,	53.820833,	2.000000
49.820765,	1.040919,	-1.219100,	-0.737960,	-0.109970,	56.135417,	2.000000
44.300180,	0.930352,	-1.219100,	-0.737960,	-0.097970,	57.354167,	2.000000
36.081926,	0.806282,	-1.219100,	-0.737960,	-0.085970,	59.720833,	2.000000
30.381728,	0.676658,	-1.219100,	-0.737960,	-0.073970,	61.929167,	2.000000
26.287936,	0.776728,	-1.219100,	-0.737960,	-0.061970,	64.672917,	2.000000
18.686287,	0.603178,	-1.219100,	-0.737960,	-0.049970,	67.902083,	2.000000
15.856013,	0.419769,	-1.219100,	-0.737960,	-0.037970,	71.845833,	2.000000
11.958530,	0.314678,	-1.219100,	-0.737960,	-0.025970,	76.364583,	2.000000
6.940565,	0.294869,	-1.219100,	-0.737960,	-0.013970,	79.143750,	2.500000
125.514501,	1.215827,	-1.219100,	-0.387960,	-0.133970,	53.300000,	2.000000
111.189779,	1.129452,	-1.219100,	-0.387960,	-0.121970,	55.356250,	2.000000
97.433492,	1.142684,	-1.219100,	-0.387960,	-0.109970,	56.847917,	2.000000
82.579752,	0.906135,	-1.219100,	-0.387960,	-0.097970,	58.870833,	2.000000
72.219463,	0.891527,	-1.219100,	-0.387960,	-0.085970,	60.366667,	2.000000
60.622468,	0.789874,	-1.219100,	-0.387960,	-0.073970,	62.968750,	2.000000
51.273882,	0.689135,	-1.219100,	-0.387960,	-0.061970,	65.785417,	2.000000
40.374798,	0.530350,	-1.219100,	-0.387960,	-0.049970,	68.077083,	2.000000
31.862881,	0.433759,	-1.219100,	-0.387960,	-0.037970,	71.335417,	2.000000
21.871334,	0.388557,	-1.219100,	-0.387960,	-0.025970,	76.033333,	2.000000
11.377538,	0.194393,	-1.219100,	-0.387960,	-0.013970,	78.068750,	2.500000
14.292643,	0.260660,	-1.219100,	-0.037960,	-0.133970,	78.233333,	2.000000
13.485427,	0.266246,	-1.219100,	-0.037960,	-0.121970,	78.097917,	2.000000
12.896097,	0.268273,	-1.219100,	-0.037960,	-0.109970,	78.741667,	2.000000
12.024977,	0.243490,	-1.219100,	-0.037960,	-0.097970,	79.597917,	2.000000
11.529222,	0.252492,	-1.219100,	-0.037960,	-0.085970,	75.531250,	2.500000
10.233169,	0.264192,	-1.219100,	-0.037960,	-0.073970,	76.610417,	2.500000
7.814760,	0.281399,	-1.219100,	-0.037960,	-0.061970,	77.687500,	2.500000
3.001711,	0.339535,	-1.219100,	-0.037960,	-0.049970,	77.783333,	2.500000
-6.653385,	0.655111,	-1.219100,	-0.037960,	-0.037970,	75.206250,	2.000000
37.218766,	0.589995,	-1.219100,	-0.037960,	-0.025970,	71.281250,	2.000000
15.696879,	0.122820,	-1.219100,	-0.037960,	-0.013970,	79.333333,	2.500000
-3.069930,	0.744995,	-0.719100,	-3.537960,	-0.133970,	55.254167,	2.000000
-8.222738,	0.680647,	-0.719100,	-3.537960,	-0.121970,	56.835417,	2.000000
-14.197404,	0.616278,	-0.719100,	-3.537960,	-0.109970,	58.966667,	2.000000
-17.367817,	0.568453,	-0.719100,	-3.537960,	-0.097970,	60.245833,	2.000000
-20.661073,	0.513378,	-0.719100,	-3.537960,	-0.085970,	62.202083,	2.000000
-21.434963,	0.464069,	-0.719100,	-3.537960,	-0.073970,	64.589583,	2.000000
-21.282732,	0.421835,	-0.719100,	-3.537960,	-0.061970,	67.012500,	2.000000
-18.235157,	0.365020,	-0.719100,	-3.537960,	-0.049970,	70.375000,	2.000000
-13.455567,	0.326502,	-0.719100,	-3.537960,	-0.037970,	73.806250,	2.000000
-8.417941,	0.282646,	-0.719100,	-3.537960,	-0.025970,	78.218750,	2.000000
-1.739026,	0.164750,	-0.719100,	-3.537960,	-0.013970,	76.906250,	3.000000
-5.429562,	0.647531,	-0.719100,	-3.187960,	-0.133970,	55.125000,	2.000000
-12.347766,	0.571164,	-0.719100,	-3.187960,	-0.121970,	56.735417,	2.000000
-16.330787,	0.529290,	-0.719100,	-3.187960,	-0.109970,	58.095833,	2.000000
-20.827456,	0.488632,	-0.719100,	-3.187960,	-0.097970,	60.358333,	2.000000
-21.917999,	0.436950,	-0.719100,	-3.187960,	-0.085970,	62.366667,	2.000000
-22.226405,	0.407269,	-0.719100,	-3.187960,	-0.073970,	64.720833,	2.000000
-21.695857,	0.367756,	-0.719100,	-3.187960,	-0.061970,	67.483333,	2.000000
-18.527482,	0.328443,	-0.719100,	-3.187960,	-0.049970,	70.318750,	2.000000
-13.775960,	0.297026,	-0.719100,	-3.187960,	-0.037970,	74.281250,	2.000000
-8.808582,	0.241523,	-0.719100,	-3.187960,	-0.025970,	78.260417,	2.000000
-2.082197,	0.163358,	-0.719100,	-3.187960,	-0.013970,	76.695833,	3.000000
-9.456028,	0.523063,	-0.719100,	-2.837960,	-0.133970,	55.379167,	2.000000
-13.791172,	0.482371,	-0.719100,	-2.837960,	-0.121970,	57.189583,	2.000000
-18.089854,	0.447655,	-0.719100,	-2.837960,	-0.109970,	58.297917,	2.000000
-21.377295,	0.379669,	-0.719100,	-2.837960,	-0.097970,	60.443750,	2.000000
-23.051281,	0.356677,	-0.719100,	-2.837960,	-0.085970,	62.647917,	2.000000
-23.278790,	0.340524,	-0.719100,	-2.837960,	-0.073970,	65.147917,	2.000000
-22.086737,	0.329545,	-0.719100,	-2.837960,	-0.061970,	67.266667,	2.000000
-18.593687,	0.285849,	-0.719100,	-2.837960,	-0.049970,	70.404167,	2.000000
-14.015494,	0.262176,	-0.719100,	-2.837960,	-0.037970,	74.187500,	2.000000
-7.942703,	0.209277,	-0.719100,	-2.837960,	-0.025970,	78.487500,	2.000000
-2.178459,	0.147260,	-0.719100,	-2.837960,	-0.013970,	76.285417,	3.000000
-12.098421,	0.435240,	-0.719100,	-2.487960,	-0.133970,	55.364583,	2.000000
-17.001807,	0.371090,	-0.719100,	-2.487960,	-0.121970,	56.589583,	2.000000
-20.076627,	0.342210,	-0.719100,	-2.487960,	-0.109970,	58.460417,	2.000000
-22.420036,	0.312123,	-0.719100,	-2.487960,	-0.097970,	60.658333,	2.000000
-24.156759,	0.291105,	-0.719100,	-2.487960,	-0.085970,	62.841667,	2.000000
-23.922410,	0.268230,	-0.719100,	-2.487960,	-0.073970,	64.639583,	2.000000
-21.923185,	0.259754,	-0.719100,	-2.487960,	-0.061970,	67.589583,	2.000000
-18.736388,	0.246534,	-0.719100,	-2.487960,	-0.049970,	70.352083,	2.000000
-13.356275,	0.217918,	-0.719100,	-2.487960,	-0.037970,	73.379167,	2.000000
-7.614443,	0.178016,	-0.719100,	-2.487960,	-0.025970,	78.354167,	2.000000
-1.936889,	0.135616,	-0.719100,	-2.487960,	-0.013970,	76.443750,	3.000000
-15.315408,	0.300935,	-0.719100,	-2.137960,	-0.133970,	55.910417,	2.000000
-19.300618,	0.288506,	-0.719100,	-2.137960,	-0.121970,	56.768750,	2.000000
-21.902957,	0.248987,	-0.719100,	-2.137960,	-0.109970,	58.962500,	2.000000
-23.500385,	0.223977,	-0.719100,	-2.137960,	-0.097970,	60.522917,	2.000000
-24.647226,	0.219474,	-0.719100,	-2.137960,	-0.085970,	62.162500,	2.000000
-23.487445,	0.209948,	-0.719100,	-2.137960,	-0.073970,	64.658333,	2.000000
-21.611197,	0.207147,	-0.719100,	-2.137960,	-0.061970,	67.141667,	2.000000
-18.742241,	0.214208,	-0.719100,	-2.137960,	-0.049970,	70.297917,	2.000000
-13.316505,	0.192256,	-0.719100,	-2.137960,	-0.037970,	73.979167,	2.000000
-7.967808,	0.171247,	-0.719100,	-2.137960,	-0.025970,	78.354167,	2.000000
-1.847404,	0.121612,	-0.719100,	-2.137960,	-0.013970,	76.456250,	3.000000
-17.459527,	0.234948,	-0.719100,	-1.787960,	-0.133970,	56.062500,	2.000000
-20.499785,	0.199537,	-0.719100,	-1.787960,	-0.121970,	57.039583,	2.000000
-22.652322,	0.192450,	-0.719100,	-1.787960,	-0.109970,	58.962500,	2.000000
-23.639343,	0.174008,	-0.719100,	-1.787960,	-0.097970,	60.825000,	2.000000
-23.626611,	0.174797,	-0.719100,	-1.787960,	-0.085970,	62.847917,	2.000000
-22.953475,	0.180109,	-0.719100,	-1.787960,	-0.073970,	65.000000,	2.000000
-20.641544,	0.187228,	-0.719100,	-1.787960,	-0.061970,	67.304167,	2.000000
-16.914836,	0.190926,	-0.719100,	-1.787960,	-0.049970,	70.204167,	2.000000
-12.897150,	0.186264,	-0.719100,	-1.787960,	-0.037970,	73.675000,	2.000000
-6.736326,	0.164812,	-0.719100,	-1.787960,	-0.025970,	78.235417,	2.000000
-1.566014,	0.119023,	-0.719100,	-1.787960,	-0.013970,	76.487500,	3.000000
-17.499716,	0.230688,	-0.719100,	-1.437960,	-0.133970,	56.562500,	2.000000
-20.057052,	0.217321,	-0.719100,	-1.437960,	-0.121970,	58.300000,	2.000000
-21.556597,	0.217595,	-0.719100,	-1.437960,	-0.109970,	59.577083,	2.000000
-22.011638,	0.207798,	-0.719100,	-1.437960,	-0.097970,	61.341667,	2.000000
-22.053020,	0.218760,	-0.719100,	-1.437960,	-0.085970,	62.775000,	2.000000
-20.613955,	0.216519,	-0.719100,	-1.437960,	-0.073970,	65.247917,	2.000000
-18.521157,	0.215637,	-0.719100,	-1.437960,	-0.061970,	67.314583,	2.000000
-15.319293,	0.216392,	-0.719100,	-1.437960,	-0.049970,	70.572917,	2.000000
-11.635878,	0.204188,	-0.719100,	-1.437960,	-0.037970,	73.787500,	2.000000
-5.718784,	0.173189,	-0.719100,	-1.437960,	-0.025970,	78.087500,	2.000000
-1.020133,	0.126384,	-0.719100,	-1.437960,	-0.013970,	76.577083,	3.000000
-16.303435,	0.345209,	-0.719100,	-1.087960,	-0.133970,	57.610417,	2.000000
-17.824524,	0.328277,	-0.719100,	-1.087960,	-0.121970,	59.085417,	2.000000
-18.484216,	0.322263,	-0.719100,	-1.087960,	-0.109970,	60.027083,	2.000000
-18.063639,	0.311424,	-0.719100,	-1.087960,	-0.097970,	61.554167,	2.000000
-18.110951,	0.308090,	-0.719100,	-1.087960,	-0.085970,	63.541667,	2.000000
-16.352535,	0.294574,	-0.719100,	-1.087960,	-0.073970,	65.275000,	2.000000
-14.349373,	0.281791,	-0.719100,	-1.087960,	-0.061970,	67.662500,	2.000000
-11.344090,	0.262322,	-0.719100,	-1.087960,	-0.049970,	70.156250,	2.000000
-7.622461,	0.237412,	-0.719100,	-1.087960,	-0.037970,	73.629167,	2.000000
-3.607431,	0.201773,	-0.719100,	-1.087960,	-0.025970,	78.250000,	2.000000
0.042136,	0.141903,	-0.719100,	-1.087960,	-0.013970,	79.777083,	2.500000
-10.918833,	0.485783,	-0.719100,	-0.737960,	-0.133970,	59.825000,	2.000000
-10.966026,	0.462833,	-0.719100,	-0.737960,	-0.121970,	60.433333,	2.000000
-11.560900,	0.455912,	-0.719100,	-0.737960,	-0.109970,	61.800000,	2.000000
-11.513979,	0.435337,	-0.719100,	-0.737960,	-0.097970,	63.441667,	2.000000
-10.627502,	0.414286,	-0.719100,	-0.737960,	-0.085970,	64.658333,	2.000000
-8.790378,	0.388255,	-0.719100,	-0.737960,	-0.073970,	66.693750,	2.000000
-6.393731,	0.359839,	-0.719100,	-0.737960,	-0.061970,	68.577083,	2.000000
-5.731162,	0.329791,	-0.719100,	-0.737960,	-0.049970,	71.383333,	2.000000
-2.225269,	0.289803,	-0.719100,	-0.737960,	-0.037970,	74.118750,	2.000000
-0.155786,	0.236561,	-0.719100,	-0.737960,	-0.025970,	78.225000,	2.000000
1.770004,	0.159031,	-0.719100,	-0.737960,	-0.013970,	79.877083,	2.500000
-3.053382,	0.639945,	-0.719100,	-0.387960,	-0.133970,	63.516667,	2.000000
-2.502965,	0.601858,	-0.719100,	-0.387960,	-0.121970,	64.816667,	2.000000
-1.574661,	0.574540,	-0.719100,	-0.387960,	-0.109970,	65.508333,	2.000000
0.140749,	0.536141,	-0.719100,	-0.387960,	-0.097970,	66.531250,	2.000000
1.657937,	0.501398,	-0.719100,	-0.387960,	-0.085970,	67.704167,	2.000000
2.842028,	0.465986,	-0.719100,	-0.387960,	-0.073970,	68.537500,	2.000000
3.842040,	0.417797,	-0.719100,	-0.387960,	-0.061970,	70.454167,	2.000000
4.520541,	0.376884,	-0.719100,	-0.387960,	-0.049970,	72.650000,	2.000000
5.927487,	0.321110,	-0.719100,	-0.387960,	-0.037970,	75.122917,	2.000000
6.007325,	0.258397,	-0.719100,	-0.387960,	-0.025970,	78.972917,	2.000000
4.916901,	0.176216,	-0.719100,	-0.387960,	-0.013970,	79.352083,	2.500000
64.990118,	0.521193,	-0.719100,	-0.037960,	-0.133970,	69.060417,	2.000000
65.418559,	0.524173,	-0.719100,	-0.037960,	-0.121970,	69.525000,	2.000000
66.852498,	0.854191,	-0.719100,	-0.037960,	-0.109970,	68.920833,	2.000000
68.935423,	0.560028,	-0.719100,	-0.037960,	-0.097970,	67.993750,	2.000000
71.541741,	0.635183,	-0.719100,	-0.037960,	-0.085970,	66.183333,	2.000000
73.165799,	0.766921,	-0.719100,	-0.037960,	-0.073970,	64.793750,	2.000000
84.685719,	1.690352,	-0.719100,	-0.037960,	-0.061970,	62.708333,	2.000000
14.063009,	1.247676,	-0.719100,	-0.037960,	-0.049970,	62.422917,	2.000000
-5.040673,	0.682305,	-0.719100,	-0.037960,	-0.037970,	75.077083,	2.000000
2.926689,	0.300912,	-0.719100,	-0.037960,	-0.025970,	77.627083,	3.000000
5.267549,	0.118969,	-0.719100,	-0.037960,	-0.013970,	78.977083,	3.500000
34.422081,	1.284181,	-0.219100,	-3.537960,	-0.133970,	55.633333,	2.000000
17.492354,	1.153728,	-0.219100,	-3.537960,	-0.121970,	56.993750,	2.000000
10.225530,	1.072148,	-0.219100,	-3.537960,	-0.109970,	59.225000,	2.000000
0.408791,	0.967203,	-0.219100,	-3.537960,	-0.097970,	60.766667,	2.000000
-6.027989,	0.863433,	-0.219100,	-3.537960,	-0.085970,	63.622917,	2.000000
-9.620188,	0.783293,	-0.219100,	-3.537960,	-0.073970,	65.666667,	2.000000
-11.861718,	0.698040,	-0.219100,	-3.537960,	-0.061970,	67.937500,	2.000000
-12.184472,	0.603123,	-0.219100,	-3.537960,	-0.049970,	71.045833,	2.000000
-9.986921,	0.495047,	-0.219100,	-3.537960,	-0.037970,	74.750000,	2.000000
-5.613446,	0.393415,	-0.219100,	-3.537960,	-0.025970,	78.920833,	2.000000
-1.008582,	0.246200,	-0.219100,	-3.537960,	-0.013970,	76.904167,	3.000000
30.406299,	1.232371,	-0.219100,	-3.187960,	-0.133970,	55.568750,	2.000000
20.720589,	1.152027,	-0.219100,	-3.187960,	-0.121970,	57.743750,	2.000000
8.290183,	1.036247,	-0.219100,	-3.187960,	-0.109970,	59.383333,	2.000000
-0.740975,	0.938456,	-0.219100,	-3.187960,	-0.097970,	61.400000,	2.000000
-6.383329,	0.850099,	-0.219100,	-3.187960,	-0.085970,	63.658333,	2.000000
-11.263576,	0.752507,	-0.219100,	-3.187960,	-0.073970,	65.839583,	2.000000
-13.293094,	0.669791,	-0.219100,	-3.187960,	-0.061970,	68.270833,	2.000000
-11.536645,	0.595131,	-0.219100,	-3.187960,	-0.049970,	71.037500,	2.000000
-9.584728,	0.475345,	-0.219100,	-3.187960,	-0.037970,	74.452083,	2.000000
