mean_energy	error	        alpha	         beta	         gamma	        acceptance	stepsize
133.877885,	2.731371,	-2.719100,	-1.787960,	-0.049970,	65.091667,	2.000000
91.206112,	1.929802,	-2.719100,	-1.787960,	-0.037970,	70.075000,	2.000000
48.222837,	1.349379,	-2.719100,	-1.787960,	-0.025970,	75.870833,	2.000000
23.430683,	0.926618,	-2.719100,	-1.787960,	-0.013970,	78.331250,	2.500000
738.495384,	5.635363,	-2.719100,	-1.437960,	-0.133970,	42.504167,	2.000000
605.675056,	4.652720,	-2.719100,	-1.437960,	-0.121970,	43.002083,	2.000000
518.554541,	4.518107,	-2.719100,	-1.437960,	-0.109970,	46.133333,	2.000000
425.626929,	3.903653,	-2.719100,	-1.437960,	-0.097970,	49.479167,	2.000000
342.197272,	3.400302,	-2.719100,	-1.437960,	-0.085970,	52.370833,	2.000000
297.557142,	4.870236,	-2.719100,	-1.437960,	-0.073970,	56.672917,	2.000000
219.938495,	2.830761,	-2.719100,	-1.437960,	-0.061970,	60.129167,	2.000000
157.002773,	2.303069,	-2.719100,	-1.437960,	-0.049970,	64.914583,	2.000000
104.834691,	1.816375,	-2.719100,	-1.437960,	-0.037970,	69.152083,	2.000000
66.644070,	1.428411,	-2.719100,	-1.437960,	-0.025970,	75.129167,	2.000000
24.848894,	0.841983,	-2.719100,	-1.437960,	-0.013970,	78.360417,	2.500000
1090.156719,	7.610862,	-2.719100,	-1.087960,	-0.133970,	43.616667,	1.500000
841.594970,	6.051390,	-2.719100,	-1.087960,	-0.121970,	43.672917,	1.500000
700.442525,	6.218777,	-2.719100,	-1.087960,	-0.109970,	43.868750,	1.500000
710.588687,	7.011140,	-2.719100,	-1.087960,	-0.097970,	44.958333,	2.000000
438.711636,	3.668493,	-2.719100,	-1.087960,	-0.085970,	48.800000,	2.000000
333.117628,	2.985147,	-2.719100,	-1.087960,	-0.073970,	53.947917,	2.000000
257.291193,	2.611494,	-2.719100,	-1.087960,	-0.061970,	57.172917,	2.000000
183.359488,	2.079923,	-2.719100,	-1.087960,	-0.049970,	61.956250,	2.000000
134.943434,	1.923639,	-2.719100,	-1.087960,	-0.037970,	67.437500,	2.000000
77.179986,	1.334159,	-2.719100,	-1.087960,	-0.025970,	73.420833,	2.000000
30.900737,	0.799447,	-2.719100,	-1.087960,	-0.013970,	77.789583,	2.500000
1834.908249,	8.582206,	-2.719100,	-0.737960,	-0.133970,	54.866667,	1.000000
1806.074653,	8.820520,	-2.719100,	-0.737960,	-0.121970,	53.316667,	1.000000
1271.164165,	7.668830,	-2.719100,	-0.737960,	-0.109970,	39.939583,	1.500000
916.898134,	6.016544,	-2.719100,	-0.737960,	-0.097970,	45.102083,	1.500000
791.730319,	6.145581,	-2.719100,	-0.737960,	-0.085970,	43.154167,	2.000000
441.643650,	3.184407,	-2.719100,	-0.737960,	-0.073970,	46.345833,	2.000000
343.220013,	2.779794,	-2.719100,	-0.737960,	-0.061970,	54.383333,	2.000000
266.223848,	2.502732,	-2.719100,	-0.737960,	-0.049970,	58.991667,	2.000000
162.251949,	1.691700,	-2.719100,	-0.737960,	-0.037970,	63.837500,	2.000000
93.702985,	1.201594,	-2.719100,	-0.737960,	-0.025970,	72.327083,	2.000000
40.126914,	0.777707,	-2.719100,	-0.737960,	-0.013970,	76.531250,	2.500000
1218.074017,	5.345798,	-2.719100,	-0.387960,	-0.133970,	52.366667,	1.000000
1243.929614,	5.388104,	-2.719100,	-0.387960,	-0.121970,	52.168750,	1.000000
1280.224057,	5.604133,	-2.719100,	-0.387960,	-0.109970,	52.568750,	1.000000
1219.120134,	5.539037,	-2.719100,	-0.387960,	-0.097970,	53.468750,	1.000000
1307.708996,	5.554823,	-2.719100,	-0.387960,	-0.085970,	41.408333,	1.500000
1212.990355,	5.664315,	-2.719100,	-0.387960,	-0.073970,	39.218750,	1.500000
956.524270,	5.569364,	-2.719100,	-0.387960,	-0.061970,	56.612500,	1.000000
343.923568,	2.560494,	-2.719100,	-0.387960,	-0.049970,	42.785417,	2.000000
217.409985,	1.813587,	-2.719100,	-0.387960,	-0.037970,	56.841667,	2.000000
129.481318,	1.347082,	-2.719100,	-0.387960,	-0.025970,	68.060417,	2.000000
52.258178,	0.680764,	-2.719100,	-0.387960,	-0.013970,	77.835417,	2.000000
-0.889503,	0.468895,	-2.719100,	-0.037960,	-0.133970,	78.412500,	2.000000
-0.288453,	0.484050,	-2.719100,	-0.037960,	-0.121970,	78.291667,	2.000000
-1.195302,	0.483324,	-2.719100,	-0.037960,	-0.109970,	78.389583,	2.000000
-1.882671,	0.487284,	-2.719100,	-0.037960,	-0.097970,	78.016667,	2.000000
-2.172631,	0.497091,	-2.719100,	-0.037960,	-0.085970,	78.400000,	2.000000
-2.266727,	0.525799,	-2.719100,	-0.037960,	-0.073970,	77.935417,	2.000000
-3.010292,	0.550609,	-2.719100,	-0.037960,	-0.061970,	77.429167,	2.000000
-4.564885,	0.594468,	-2.719100,	-0.037960,	-0.049970,	76.347917,	2.000000
-4.533532,	0.682870,	-2.719100,	-0.037960,	-0.037970,	74.289583,	2.000000
-5.020188,	0.781250,	-2.719100,	-0.037960,	-0.025970,	72.187500,	2.000000
-0.879333,	0.895705,	-2.719100,	-0.037960,	-0.013970,	69.997917,	2.000000
